OUTLET NAME,MERCHANT NAME,ADDRESS1,ADDRESS2,AREA,CITY,PINCODE,STATE,NEW CATEGORY,ENABLED WITH BQR CODE
Fair Value Super Market,Fair Value Super Market,Kanthesha Arcade,B H Road,Shankar Mutta Circle,Shimoga,577201,Karnataka,SUPER MARKET,YES
Thulir Traditional Shop,Thulir Traditional,"No.73/D-4-A, Opp Sabari Eye Care Hospital",Bagalur Main Road,Bagalur Main Road,Hosur,635109,Tamil Nadu,SUPER MARKET,YES
Lapsiwala Kariyana Store,Lapsiwala Kariyana Store,79/80 Sampatrao Circle,Mota Bazar,Mota Bazar,Navsari,396445,Gujarat,SUPER MARKET,YES
Shivshakti Super Market,Shivshakti Super Market,Bs 2 Bs 3 Vasupujya Complex,Vasna,Vasna,Ahmedabad,380007,Gujarat,SUPER MARKET,YES
Continental Corner,Continental Corner,C/O Ilabs Technology Centre Pvt Ltd,10th Floor,10th Floor Madhapur,Hyderabad,500081,Telangana,CANTEEN / CATERERS,YES
Continental Corner,Continental Corner,C/O Deloitte Block F,Raheja Mindspace,Hitechcity,Hyderabad,500081,Telangana,CANTEEN / CATERERS,YES
Ratnam Stores,Ratnam Stores,"No 114/D, 9th Cross","2nd Main Road,Chamarajpet",Chamarajpet,Bangalore,560018,Karnataka,SUPER MARKET,YES
Orbit Super Market,Orbit Super Market,Narayan Bhawan,Nageswar Colony,Kavi Raman Path,Patna,800001,Bihar,SUPER MARKET,YES
Kamlesh Super Shopee,Kamlesh Super Shopee,Empire Estate A Building,Shop No A/3 Mumbai Pune Road,Chinchwad,Pune,411033,Maharashtra,SUPER MARKET,NO
Namdhari Agro Fresh,Namdhari Agro Fresh Pvt Ltd,"No.48/2, Block2, Ground Floor,",Ashok Reddy Building,Kudlu Main Road,Bangalore,560102,Karnataka,SUPER MARKET,NO
Nilgiris,Jayam Enterprises,"No.1, Krishnama Road",Nungambakkam,Nungambakkam,Chennai,600034,Tamil Nadu,SUPER MARKET,YES
Namma Veedu Vasanta Bhavan,Vasanta Bhavan Hotels India Pvt Ltd,"Bnp Paribas, 3rd Floor, Centre Point 2","8-11, Ekkaduthangal Road",8/11 Guindy,Chennai,600032,Tamil Nadu,FAST FOOD,YES
Real Super Market,Real Super Market,Shop No 6 7 8 9 Ground Floor Swastik Park,Shopping Complex Azad Nagar G B Road,Thane West,Thane,400607,Maharashtra,SUPER MARKET,YES
Shivam Super Market,Shivam Super Market,Shop No.5 Dhanlaxmi Shopping Center,Rutu Estate Near Hiranandani Estate,Thane West,Thane,400607,Maharashtra,SUPER MARKET,NO
Falguni Jain Gruh Udhyog,Falguni Jain Gruh Udhyog,3 Pandamgiri Appartment,Naranpura,Naranpura,Ahmedabad,380013,Gujarat,SUPER MARKET,YES
Ajwa Shopping Center,Ajwa Shopping Center,"9/322a, Vandhikapally",Chingoli,Karthikapally,Alleppey,690532,Kerala,SUPER MARKET,NO
